2023-11-06 09:12:43, variables.js, HOPPER PLUS RESERIAL, Error, SyntaxError: Identifier 'AreaID' has already been declared
2023-11-06 09:12:43, variables.js, HOPPER PLUS RESERIAL, Error, 1
2023-11-06 09:16:28, variables.js, WIRELESS ACCESS POINT FUNCTIONAL, Error, Error: Cannot find module './sql'
Require stack:
- C:\Users\humberto.bolanos\Desktop\ReturnsProxy\PLCMonitor\workerScript\LabviewET-worker.js
2023-11-06 09:16:28, variables.js, HOPPER PLUS USB C, Error, Error: Cannot find module './sql'
Require stack:
- C:\Users\humberto.bolanos\Desktop\ReturnsProxy\PLCMonitor\workerScript\LabviewET-worker.js
2023-11-06 09:17:01, variables.js, WIRELESS ACCESS POINT COSMETIC, Error, SyntaxError: Identifier 'sqlfunctions' has already been declared
2023-11-06 09:17:01, variables.js, WIRELESS ACCESS POINT COSMETIC, Error, 1
2023-11-06 09:18:16, variables.js, QRA, Error, ReferenceError: sendsmtp is not defined
2023-11-06 09:19:26, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:19:26, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:19:27, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:19:27, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:19:27, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:19:27, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:19:27, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:27:14, variables.js, ReturnsCounter, Error, [object Object]
2023-11-06 09:27:14, variables.js, ReturnsCounter, Error, 1
2023-11-06 09:27:28, plc-worker.js, AEC2 Monitor, AEC2, Error: TIMEOUT occurred while writing Reading Tag Group.
2023-11-06 09:27:28, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:27:28, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:27:28, plc-worker.js, AEC1 Monitor, AEC1, Error: TIMEOUT occurred while writing Reading Tag Group.
